PMID;Triage classification
21774095;negative
5099761;negative
17692532;negative
8595591;negative
23291774;negative
24517025;negative
1147611;negative
23701911;negative
8243636;negative
22686013;negative
8385582;negative
11589578;negative
8310061;negative
8588051;negative
22870053;negative
21256746;negative
21265870;negative
18197405;negative
23252695;positive
10773459;negative
11391016;negative
10924103;negative
23562779;negative
9519482;negative
15367134;negative
9477552;negative
5480600;negative
21424547;negative
6248742;negative
21282110;negative
22544243;negative
1906376;negative
16788725;negative
20443596;negative
22906186;positive
18298046;negative
16200504;negative
20565593;negative
18327544;negative
22080343;negative
15821912;positive
10091328;positive
9456310;negative
10591634;negative
18752623;negative
12233746;negative
8905923;positive
21273791;negative
20553392;negative
7487028;negative
7586029;positive
6370959;negative
20540109;negative
7961884;positive
11986920;negative
22552805;negative
8795256;negative
17537269;negative
2810367;negative
1557023;positive
8223613;negative
21784865;negative
11934314;negative
17505783;negative
23836384;negative
2252383;negative
10952010;negative
20349285;negative
20352968;negative
11580836;negative
21181156;positive
11157256;positive
19487479;negative
3768806;negative
18482441;negative
11358516;positive
24117652;negative
18425608;negative
1769560;negative
16857704;negative
5549052;negative
24450186;negative
16694;negative
11386370;positive
1452095;negative
23100850;negative
5893218;negative
7188760;negative
1732062;negative
13129622;negative
15176869;negative
6791629;negative
9008887;positive
12324364;negative
17022669;negative
13980212;negative
9301021;negative
9748433;negative
7262712;negative
6355759;negative
11841200;negative
22983744;negative
7632392;negative
9761741;positive
8597544;negative
17334847;negative
8635582;negative
20467251;negative
8669913;negative
23026337;positive
1367522;positive
20709852;positive
24425396;negative
16276899;negative
19049410;positive
21162585;negative
15917601;negative
21675218;negative
15003456;negative
22210210;negative
14512430;negative
14512430;negative
22394064;negative
17650684;negative
8815461;negative
19141036;negative
14678162;negative
2789517;negative
8980633;negative
20798001;negative
23791774;negative
18024004;negative
24092451;negative
15843217;negative
4607413;negative
17018008;negative
21040747;positive
7966300;negative
2380118;negative
23261999;positive
19201950;negative
21952976;negative
18759041;negative
17986091;negative
3310898;negative
10223970;negative
17646355;negative
22146618;negative
10945678;negative
10329194;negative
24564786;negative
911160;negative
10493932;positive
20419375;positive
16957894;negative
18512263;positive
1657419;negative
17140790;negative
16880540;negative
15756838;negative
16844780;positive
21764976;negative
23729871;negative
16828285;negative
10559174;negative
23306646;negative
18328729;negative
16667555;negative
11817541;negative
8358833;positive
23913372;negative
16708193;negative
10369955;negative
14276502;negative
7906649;positive
19625252;negative
20591661;positive
20217156;negative
17657535;negative
11787020;negative
23291620;negative
2377474;negative
10463391;negative
17646981;positive
21485035;negative
19936631;negative
8576053;negative
22688905;negative
10517830;negative
16887700;negative
3925812;negative
20222446;positive
8923734;negative
22126042;negative
7744723;negative
11267647;negative
9325167;negative
18553590;negative
4213746;negative
23411236;negative
15227780;negative
7811079;positive
17910720;negative
22516249;negative
139;negative
1699605;negative
9682473;positive
1339327;positive
12620884;positive
3583921;negative
1288411;negative
3323827;negative
11084872;negative
12690417;negative
8612749;negative
1004263;negative
2373365;negative
23982327;negative
7049699;negative
18923909;negative
2308855;positive
11094287;negative
1034498;negative
21924894;negative
15985408;negative
12037609;negative
8358835;positive
10231593;negative
19259344;negative
11472517;negative
2403250;negative
18405994;negative
2681184;negative
8531015;negative
21440435;negative
19160808;negative
3758030;positive
20455430;negative
23122752;negative
1138912;negative
12501412;negative
20722697;negative
12353911;negative
2467938;negative
10769744;negative
15567274;negative
9758835;positive
23676362;negative
11356576;negative
20302895;negative
22390063;negative
20402792;negative
18180968;negative
5550826;negative
14740196;negative
15006424;positive
28620;negative
6008067;negative
22073551;negative
15291818;positive
12639832;negative
8297343;positive
22068499;negative
23035578;negative
11254576;positive
20621155;negative
22925336;negative
9925582;negative
15850449;negative
10052139;negative
21357429;negative
19410456;negative
22448043;negative
23525113;positive
16832725;negative
18555450;negative
18725302;positive
23839085;negative
20675126;negative
15809023;negative
4736383;negative
15999850;negative
15944805;negative
10713213;negative
15351275;negative
22713984;negative
10556791;negative
21237221;positive
2332056;negative
14987996;positive
2509432;positive
12652873;negative
22794932;negative
17169074;negative
10467122;negative
24420197;negative
2508562;negative
9291122;negative
2126511;negative
9218776;negative
22548968;negative
20512738;negative
985835;negative
7487009;negative
1976383;negative
19307767;negative
7325649;negative
22012339;negative
18020405;positive
22669418;negative
11402168;negative
17704018;negative
23526575;negative
8166646;negative
2107872;negative
8766668;negative
7875560;negative
19443530;negative
20198641;negative
7305400;negative
3122047;negative
8508770;negative
3120641;negative
8588743;negative
22684798;negative
6788099;negative
21898149;negative
16666809;negative
12523968;negative
10974122;negative
2017176;negative
160002;negative
19542306;negative
4551323;negative
9732283;negative
23013491;negative
18546213;negative
10618381;negative
17027758;positive
1955876;negative
20829451;negative
3012284;negative
1115500;negative
4330540;negative
15235068;negative
17967194;negative
20053629;negative
22232262;positive
18025569;negative
21114504;negative
2518813;negative
23185896;negative
17416404;negative
1918080;negative
20165908;negative
15869957;positive
1368680;positive
17604706;negative
15964222;negative
7582030;negative
12018253;negative
15236908;negative
16038608;negative
15322773;positive
20454524;negative
1320801;negative
16668506;negative
20213504;negative
12555540;negative
12215498;negative
11339938;negative
34447;negative
21905272;negative
9464371;positive
8421299;negative
8220235;negative
12830328;positive
1096148;negative
21124977;negative
24299846;negative
19590866;positive
19685081;negative
12557489;negative
20596757;negative
24425605;negative
17216454;positive
23242634;negative
12240994;negative
13276871;negative
22955325;negative
7271709;negative
16350026;negative
4797775;negative
21441342;negative
12646689;negative
8000538;positive
18468997;negative
22806105;negative
21824866;negative
21948841;positive
16348009;negative
18416703;negative
17153926;negative
16018204;negative
6412706;negative
17979231;negative
12070763;negative
2659969;negative
23268348;positive
22075029;negative
23467998;negative
18218021;negative
1789004;negative
19998284;negative
17920263;negative
10049695;negative
14745226;negative
10520161;negative
18083888;negative
9145516;positive
18378599;negative
3936918;negative
17043825;negative
9393696;negative
19000618;positive
2572649;negative
22359366;negative
23220193;negative
10899758;negative
17929596;negative
12721409;negative
11010867;negative
9151960;negative
19860881;negative
11262059;negative
16478251;negative
20707819;negative
23375723;negative
11854;negative
8358837;negative
17468866;negative
23688024;negative
8125293;negative
2506437;negative
16347939;negative
15450862;negative
19146495;negative
22953959;negative
7765871;negative
12664153;positive
10584009;negative
23457711;negative
24322404;negative
11963896;negative
19710471;negative
7874735;negative
15538558;negative
9128738;positive
5861997;negative
2116499;positive
16272471;negative
9795258;negative
21120468;negative
2502318;negative
18923855;negative
1426560;negative
23107806;negative
23094334;negative
6802188;negative
12825514;negative
24197002;negative
15146316;negative
23040386;negative
22460914;negative
22120123;negative
22708811;negative
23507038;negative
9472082;negative
12630320;negative
7574556;negative
17043085;negative
7766226;negative
20068354;negative
9858974;negative
16233515;positive
10591965;negative
8482789;negative
17020137;negative
1793336;negative
16362326;negative
16366715;negative
16366715;negative
1664199;negative
1934116;positive
12668313;negative
8810077;positive
18588984;negative
10809732;negative
8579830;negative
21985037;negative
10653151;negative
15246667;negative
11958628;negative
8112694;negative
7191044;negative
24023907;negative
20954077;negative
18543932;negative
19486415;negative
22280964;negative
20680572;negative
19924304;negative
7929854;negative
22118579;negative
8103505;negative
22488104;negative
16150549;negative
16150549;negative
9612947;negative
22006641;negative
24141072;negative
17998157;negative
10769178;negative
23110120;negative
6437;negative
8307996;negative
20400560;negative
16133102;positive
11830593;negative
22731517;negative
9325098;negative
11259593;negative
23045615;negative
11091786;negative
17056741;negative
10215886;negative
12325291;negative
21169437;negative
17509848;negative
22703989;negative
9449774;negative
12743761;negative
18804052;negative
23251045;negative
16427312;positive
14713171;negative
15886912;negative
11706050;negative
3918018;negative
10052158;negative
15329934;negative
1368209;negative
7765568;negative
21256739;negative
16636831;positive
21947763;negative
19120925;negative
15704330;negative
10930731;negative
17215902;negative
6370962;negative
22974217;negative
15808943;positive
15819855;negative
9546179;positive
23584406;negative
20184750;negative
21216942;negative
8737575;negative
19189178;negative
12232407;negative
18180966;negative
17491015;negative
20222552;negative
22782269;negative
1730409;negative
12092848;negative
15294290;positive
16453175;negative
15535463;negative
1731612;negative
15491832;negative
23023416;negative
21972146;negative
7780020;negative
33155;negative
12384080;negative
11115392;positive
22280343;negative
8954885;negative
20464942;negative
18704748;positive
11750827;negative
15917612;negative
6406997;negative
4797278;negative
24162578;negative
12391332;negative
16478053;negative
16104859;negative
7883049;negative
12213928;negative
23700144;negative
19001750;negative
17452322;negative
1758310;negative
3338453;negative
15128531;negative
16291632;negative
6408105;negative
10840595;negative
16176807;negative
13680368;negative
24211645;negative
9226959;negative
23871041;negative
22212462;negative
21816879;negative
22245941;negative
97279;negative
12756504;negative
18213692;negative
8960907;negative
3289256;negative
21742908;negative
12466893;negative
42370;negative
22033931;positive
17436644;negative
1818156;negative
3923931;negative
23260270;negative
1317007;negative
75665;negative
9492270;positive
17485087;negative
3924740;negative
20219710;negative
22271252;negative
19044008;negative
23869387;negative
23586723;negative
3146687;negative
11572457;negative
8390581;negative
23964451;negative
19735910;negative
23638383;negative
23593409;negative
22782265;negative
17558545;negative
16244214;negative
16663892;negative
21302145;positive
16243363;negative
23452049;negative
3111495;negative
22426095;negative
15125954;negative
8628122;negative
17186621;negative
9035405;negative
573944;negative
9701593;negative
22878198;negative
7670194;positive
1367012;negative
3109901;negative
24034432;negative
22044963;negative
16650812;positive
11807269;negative
12232119;negative
12192081;negative
22430506;negative
7018591;negative
415042;negative
1490609;negative
16906444;negative
21877736;negative
22806790;negative
8077196;negative
17408002;negative
16637705;negative
12142142;negative
22839502;negative
16878976;negative
22713991;negative
12139014;negative
22733389;negative
15342117;negative
7785860;negative
20579868;negative
22350290;negative
1569086;negative
16244441;positive
18943798;negative
11948445;negative
8561466;negative
11497466;negative
6725140;negative
22783129;negative
1556560;negative
1397599;negative
9782514;positive
3332972;negative
6893962;negative
22773628;negative
23768582;negative
17964183;positive
21596546;negative
23248847;negative
20394004;negative
16267281;negative
10913977;negative
20943195;negative
8787411;negative
10448329;negative
22067437;negative
17349635;negative
11409995;negative
12097140;negative
18683633;negative
4822055;negative
20561260;negative
22056690;negative
837251;negative
9791893;positive
19205687;positive
9315736;negative
17524989;negative
10705459;negative
23799111;negative
4796770;negative
20872041;negative
10099291;negative
1238128;negative
22915470;negative
16970614;negative
10913188;negative
10913188;negative
20689953;negative
11034286;negative
16404950;positive
1557024;negative
21560174;negative
19366713;negative
15950056;negative
16586026;negative
20429042;negative
9645589;negative
22122507;negative
23397242;negative
9542155;negative
15256547;negative
9758774;positive
19912637;positive
2676205;negative
9501149;negative
4133560;negative
10773444;negative
10773444;negative
22112826;negative
9057332;negative
12626396;negative
15046592;negative
14685768;positive
16139441;negative
1490604;positive
24262091;negative
20024599;negative
2562758;negative
1637155;negative
16262051;negative
17593302;negative
21732697;negative
6373661;negative
8885275;negative
18599118;negative
1288491;negative
15128569;negative
2178175;negative
5488463;negative
10974540;negative
18825950;negative
3128741;negative
15202719;negative
23489570;negative
19840119;negative
17596184;negative
9925560;negative
11548999;negative
12209794;negative
19120915;negative
15366516;negative
12861495;negative
18378601;negative
23338146;negative
10945248;positive
7827506;negative
7197889;negative
22685137;positive
1960723;negative
9323869;negative
18421585;negative
20005699;negative
18574560;negative
18843045;negative
9226960;negative
24425600;negative
15907541;negative
12455695;positive
23508399;negative
18762935;negative
15150397;negative
18975963;negative
16876163;negative
20541633;negative
16233072;positive
17537615;negative
1521873;negative
8434936;negative
19830597;negative
3733465;negative
4677593;negative
9291624;negative
23306674;negative
10656340;positive
9634791;negative
20227273;negative
17089664;negative
24212486;negative
15998153;negative
10952011;positive
15564518;negative
11486014;negative
7727348;negative
17067546;negative
9487697;negative
22803678;negative
21890820;negative
18943122;negative
1397598;negative
9148754;negative
8940152;negative
18839253;negative
6781492;negative
18479937;positive
6770360;negative
20828009;negative
12850270;positive
7764611;negative
12400688;positive
17341093;negative
8146913;negative
17724729;negative
21909256;negative
22070776;negative
20464449;negative
8221931;negative
11791350;negative
23011568;negative
24384382;negative
14999404;negative
17134395;negative
10398601;negative
8625892;negative
18633736;negative
4425355;negative
11061997;negative
606354;negative
16672461;negative
22733825;negative
15462530;negative
9330667;negative
10359487;negative
23054699;negative
22297229;negative
23239941;negative
6721328;negative
2762318;negative
12362403;negative
11051094;negative
9687432;negative
15502357;positive
2854095;negative
21281115;negative
23314962;negative
10966394;negative
17704215;negative
241016;negative
3127056;negative
20380885;negative
23987000;negative
15008348;negative
22806017;negative
20851958;positive
15944458;negative
16110918;negative
11739770;negative
11739770;negative
14244696;negative
21732241;negative
22311644;negative
13980210;negative
2688929;positive
8298280;negative
10206706;negative
1248782;negative
9547139;negative
19557348;negative
9653105;negative
24372593;negative
16135240;negative
22833403;negative
19039584;positive
10613893;negative
23489565;negative
18443829;negative
4767299;negative
16232461;negative
14533711;negative
16272431;negative
8264524;negative
10792647;negative
3009402;negative
10742225;negative
24015063;negative
3902789;negative
23465907;negative
1320801;negative
1320801;negative
18579426;negative
20673988;negative
11601627;negative
8563861;negative
16667843;negative
21307835;negative
16653055;negative
15362290;negative
19813733;negative
123525;negative
7988872;negative
23022439;negative
22693831;negative
23084335;negative
11117313;negative
627529;negative
4335690;negative
942917;negative
7200359;negative
23782224;negative
11847281;negative
19502758;positive
3006051;negative
23106143;negative
23100816;negative
2579525;negative
7325495;negative
14640962;negative
21948126;negative
7628692;negative
21822643;negative
20619350;positive
1979298;positive
3084921;negative
12668107;negative
4476077;negative
17605408;negative
15257413;negative
15257413;negative
15916615;negative
20675124;negative
21039932;negative
10075414;negative
10075414;negative
22956300;negative
21617347;negative
19621226;negative
20538957;negative
11930943;negative
21165671;negative
16348487;negative
23148719;negative
21683463;negative
16912924;negative
1368843;positive
13797468;negative
21710260;positive
23990297;negative
21452798;negative
12776916;negative
12094738;negative
23033636;negative
10049864;negative
23712903;negative
22850791;negative
2549957;negative
12748812;negative
16348244;negative
10917454;negative
10917454;negative
8660543;negative
9335273;negative
12067381;negative
24039705;negative
15379246;negative
8688436;positive
11571172;negative
11830942;negative
19265900;negative
9429292;negative
8929396;negative
9258674;negative
7858211;negative
8585318;negative
8706890;negative
18490069;negative
1905400;negative
9746354;negative
11319815;negative
20043150;positive
19666027;negative
10852969;negative
8541310;negative
16667600;negative
16428847;negative
21952371;negative
7576553;positive
15165243;negative
6176218;negative
12722463;negative
20461510;negative
6008068;negative
23025448;negative
1980522;negative
19445172;negative
19076793;negative
24258792;negative
8945534;positive
8355282;negative
21229460;negative
19081010;negative
20826217;positive
24155872;negative
21628276;negative
18171630;negative
1512573;negative
22829651;negative
8522511;positive
15514050;negative
12324582;negative
16967902;negative
754880;negative
531719;negative
16817929;negative
20446042;negative
16882157;negative
20195768;negative
11078955;negative
22365717;negative
15257413;negative
15103133;negative
3014435;negative
11515540;negative
8664500;negative
23844364;negative
19800970;negative
9952444;negative
12885168;negative
21724886;negative
22020441;negative
18629438;negative
21506480;negative
23717995;negative
19882113;negative
2834081;negative
18836000;negative
15927751;negative
23054399;negative
15284891;negative
15236928;negative
16233716;negative
9167273;negative
22988247;negative
9792094;negative
6208985;negative
16569456;negative
234905;negative
18602476;positive
9074500;negative
15654887;negative
17697785;negative
23054694;negative
23339486;negative
16232967;negative
15243740;negative
19089648;negative
24010040;negative
11856319;negative
1632643;negative
16572843;negative
23737947;negative
13780032;negative
3127692;negative
10550770;negative
1366741;negative
8987613;negative
19593751;negative
19644688;negative
21470856;negative
10981683;negative
1366559;negative
1889394;negative
17933563;negative
16894729;negative
16024227;negative
23681763;negative
24415080;negative
12670686;negative
14763904;negative
11955286;negative
23497862;negative
804341;negative
9742695;negative
15247239;negative
16347204;negative
1905781;negative
23935027;negative
1280921;negative
7961928;negative
20393704;negative
17356854;negative
22452622;negative
9274016;negative
9056481;negative
22608736;negative
16121561;negative
20358285;negative
4689094;negative
2160276;negative
10196744;negative
8713621;negative
9723670;negative
18636522;negative
24031228;negative
1633970;negative
8367456;negative
13719879;negative
7600007;negative
8664504;positive
12137954;positive
17450745;negative
22805935;negative
17408885;negative
16368977;negative
12949620;negative
17068754;negative
24403727;negative
15090228;negative
15090228;negative
15715941;positive
8433972;positive
20109094;positive
23850557;negative
8735015;negative
22216349;negative
16084620;negative
8482539;negative
2835179;negative
23956415;negative
13460794;negative
9006908;negative
1369347;negative
21277083;negative
22198864;negative
9145525;positive
14709718;negative
2396985;negative
16946258;negative
11748881;negative
20490787;negative
106904;negative
20480204;negative
20630729;negative
19500674;positive
10564469;negative
6088086;negative
8662210;negative
18587856;negative
16789551;negative
18478384;negative
21304822;negative
3384335;negative
11683266;negative
23942188;negative
15518656;negative
16317036;negative
21046416;negative
16346510;negative
9720251;negative
12383257;positive
6169675;negative
17726719;negative
1680543;negative
10333076;negative
6541478;negative
22179540;positive
21845444;negative
15312766;negative
10590467;negative
9629909;negative
15917603;negative
7379908;negative
19520725;negative
24031189;negative
17309295;negative
19455322;negative
1714453;negative
8536316;negative
7526389;negative
18222909;negative
13749863;negative
19688382;negative
12230228;negative
9177314;negative
23975635;negative
1421154;negative
8625428;negative
18256490;negative
11538970;negative
11499934;negative
18716810;negative
23303184;negative
2114822;negative
22521132;negative
9426596;negative
11112543;negative
10832892;negative
7050667;negative
10617646;negative
21296155;negative
12172603;negative
15293787;negative
1547940;negative
1547940;negative
23686283;negative
18178432;negative
15247378;negative
22561863;negative
21243443;positive
23066931;negative
15928983;negative
11350173;negative
24096527;negative
1826595;negative
9732526;positive
23618278;negative
7598694;negative
15470100;negative
14680938;negative
560243;negative
23983544;negative
22509849;negative
20150426;negative
17655960;negative
16054903;negative
8082210;negative
23338752;negative
18068392;negative
7549765;negative
19948732;negative
8720076;negative
21193820;positive
22982636;negative
6096697;negative
2370848;negative
22851449;negative
15574891;negative
1730413;negative
17974203;negative
18096849;negative
10713452;positive
2269871;negative
8439405;negative
18025571;negative
3497057;negative
8299170;negative
14566067;negative
22919820;negative
16026881;negative
17983432;negative
9342405;negative
23480960;negative
12592456;negative
8664505;positive
3013721;negative
16406356;negative
4524641;negative
20668917;negative
8605293;negative
1403950;negative
24329940;negative
21193346;negative
8096829;negative
7764601;negative
8948426;negative
10398828;negative
8057846;positive
19708824;negative
1996316;negative
23297640;negative
23022438;negative
10499262;negative
9581294;negative
7747967;negative
11472518;negative
20173071;negative
566566;negative
21848065;negative
16800643;negative
7488173;positive
8621525;negative
19515400;negative
7753774;negative
3124870;negative
6786226;negative
1990267;negative
11888168;negative
18040681;negative
148915;negative
10894;negative
10894;negative
17090929;negative
11148206;negative
22476582;negative
8472909;negative
20676628;negative
18791013;negative
12702357;positive
16957091;negative
14574112;negative
21829479;negative
22570952;negative
15160297;negative
12025930;negative
7725791;negative
23185578;negative
18489109;negative
20965068;negative
18553737;negative
18454347;negative
21575132;negative
12200333;negative
11414328;negative
23035579;negative
16535476;negative
10772156;negative
7190031;negative
16524900;negative
9370370;positive
18668373;negative
21865185;negative
21761177;negative
24316358;negative
20582639;negative
15950156;negative
21653698;positive
22949817;negative
8810518;negative
11251104;negative
16806908;negative
113390;negative
21790816;negative
24033867;negative
23054821;negative
21887271;negative
23985491;negative
15299892;negative
23809653;negative
21829152;negative
19685157;negative
10913973;negative
16535103;negative
23824609;negative
21558674;negative
19640700;negative
11692674;negative
22841889;negative
12835054;negative
18590232;negative
6470092;negative
97;negative
12845603;negative
16345247;negative
23750957;negative
20096556;negative
7793956;negative
10747977;negative
16396356;negative
14610026;negative
17142360;negative
7984103;positive
14600224;negative
9251203;negative
8870240;negative
18264680;negative
22526794;negative
20725649;negative
23829075;negative
6190756;negative
11779794;negative
11779794;negative
22072708;negative
17503147;positive
22349231;negative
3310950;negative
16869499;negative
12587698;negative
15162396;negative
8477352;negative
4672924;negative
18846399;negative
10792550;negative
5166070;negative
23775269;negative
16535755;negative
1886523;negative
12945177;negative
21404694;negative
23848286;negative
19692229;negative
6166833;negative
11585689;negative
20122825;negative
16137662;negative
9395457;negative
22094734;negative
8598062;positive
241478;negative
21888052;negative
11324720;negative
19908201;negative
14674022;negative
1710552;negative
7542535;negative
14523573;negative
12882555;negative
12761077;negative
19817688;negative
16662879;negative
15640210;negative
9335165;negative
16110456;negative
15912954;positive
11162394;positive
4407387;negative
22705517;negative
23897210;negative
16904235;negative
22160328;positive
15716038;positive
17103162;negative
21971070;negative
21919515;negative
23071108;positive
7546571;negative
12681926;negative
9309656;negative
16797931;negative
21102653;negative
21981827;negative
20140716;negative
12822139;negative
3265987;negative
19236484;negative
16668007;negative
19715779;negative
11679336;negative
16233017;negative
7191386;negative
23022488;negative
8532665;negative
12223300;negative
14554199;negative
9030754;negative
20015338;positive
19837831;negative
17159236;negative
15560790;negative
18500632;negative
15552846;negative
2233708;negative
10675622;negative
18331049;negative
21835878;negative
23432824;negative
20592022;positive
19527167;negative
311688;negative
17373453;negative
17373824;negative
7737483;negative
16107755;positive
8824176;negative
19922433;negative
10582376;negative
21611131;negative
9361421;negative
16360800;negative
20414741;negative
2331322;positive
8597538;negative
7894714;negative
1377478;negative
21519935;negative
8935660;negative
8172598;negative
2415455;negative
16475280;negative
16468340;negative
20807550;negative
8550021;negative
10594117;negative
22514879;negative
16658739;negative
3170260;negative
864434;negative
20027332;negative
9596636;negative
15612820;negative
23613286;negative
14565843;positive
8806421;negative
9684370;negative
7592973;negative
12028430;negative
22768188;negative
1086637;negative
18086237;negative
11312832;negative
4165671;negative
17938911;negative
21764911;negative
9084219;negative
7851411;negative
563863;negative
23301151;negative
12620261;negative
1869556;negative
11255010;positive
23224588;negative
911942;negative
17210951;negative
17159214;negative
15998308;positive
17641888;negative
10759859;negative
8901114;negative
21919862;negative
18371173;negative
8358830;positive
6020046;negative
23051693;negative
2223824;negative
20532758;negative
1106342;negative
8639668;negative
9363442;negative
4255900;negative
21815831;negative
22026998;negative
19169854;negative
20137960;negative
18155804;negative
18576098;negative
23442693;negative
23594998;negative
23544613;negative
9357170;negative
19298836;negative
7866877;negative
12721415;negative
10386623;negative
15046588;negative
14987724;negative
11916668;positive
12153;negative
16140328;positive
19663423;negative
523359;negative
22371150;negative
15706864;negative
8768520;positive
9317009;negative
23619241;negative
24128404;negative
19057825;negative
18061578;negative
17915946;negative
9791107;negative
12483620;negative
7968662;negative
9933966;negative
826291;negative
16034819;negative
21532326;negative
10830498;positive
12943532;negative
4587312;negative
11741899;negative
9390455;negative
15553782;negative
16535342;negative
19513709;positive
15664516;negative
2545533;negative
7969135;negative
16349547;negative
7765775;negative
2113524;positive
11602357;negative
22622836;positive
18421595;negative
20080727;negative
4944660;negative
1711992;negative
23390613;negative
22407108;negative
17868942;negative
16914364;negative
12557547;negative
14734176;negative
23518084;negative
24113511;negative
7763680;negative
21165740;negative
10422230;negative
23035824;negative
10889239;negative
19504493;negative
9654098;negative
6781994;negative
16146673;negative
7915941;negative
20549203;negative
3082568;negative
9367516;negative
17088143;negative
10517323;negative
22450796;positive
6331333;negative
9466911;negative
20623316;negative
14558143;negative
7975893;negative
7765191;negative
19322841;negative
22484439;negative
21964940;negative
18831195;negative
20937420;negative
12968727;negative
15683395;negative
19140029;negative
15926040;negative
9165762;positive
21544619;negative
16697997;positive
12232061;negative
1594557;negative
1400249;positive
22611527;negative
6436496;negative
8987884;positive
9701815;negative
7627131;negative
1937044;negative
1661010;negative
17669636;negative
12684541;negative
12684541;negative
12843660;negative
19148637;negative
20306187;negative
19649636;positive
5929777;negative
5772957;negative
3025617;negative
8987532;negative
10658668;negative
22921251;negative
12922166;positive
7664946;negative
18279338;negative
6008065;negative
22112766;negative
19396602;negative
20939889;negative
12489127;positive
11030574;negative
21435891;negative
10891380;negative
23872280;negative
